What is your age?,Current educational position?,Gender?,Your  current CGPA?,Your Higher Secondary School(H. SC) or A level or equivalent result?,At what age you had started playing games?,Do you play games on mobile or pc?,When you go to sleep?,Do you attend your morning class regularly?,The average time you spend playing games?,Which type of game you addict more?,Do you read newspaper?,Which type of game you played most?,How many time you spend with family and friend?,How you fill when you can not play game in whole day?,How you fill to complete game level?,If you didn't finish games last level what is your feeling?,Do you fill Fatigue?,Do you play games for stress relief?,Are you wearing glasses?
21,Bachelor Level,Male,3.28,4.83,9,Mobile,9:00:00 PM,Yes,3,"FIFA, PUBG, FREE FIRE, COC, PES, CALL OF DUTY",Regular,Non Paid,24,Depressed,Excited,Excited to complete level,No,Yes,No
22,Bachelor Level,Male,3.05,4.06,19,Mobile,12:00:00 PM,Yes,3,Bus driving simulator ,Not regular,Non Paid,1,Positive,Excited,Excited to complete level,Yes,Yes,No
23,Bachelor Level,Female,3.75,5,12,Mobile,12:00:00 AM,Yes,0,Nothing ,Not regular,Non Paid,4,Nothing ,Bored,No feeling,No,No,No
22,Bachelor Level,Male,3.5,5,17,"Mobile, PC",2:00:00 AM,No,5,"PUBG, FREE FIRE",Not regular,Non Paid,2,Upset,Excited,Stressed,Yes,No,Yes
23,Bachelor Level,Male,3.54,4.5,17,PC,3:00:00 AM,Yes,1,FIFA,Regular,Paid,2,Positive,Bored,No feeling,No,Yes,No
26,Master's Level,Male,3.5,4.5,12,"Mobile, PC",4:00:00 AM,Yes,1,"FIFA, PUBG, PES, CALL OF DUTY",Not regular,Non Paid,12,Angry,Excited,Excited to complete level,No,Yes,Yes
27,Master's Level,Male,3.72,4.8,15,"Mobile, PC",1:30:00 AM,Yes,0,Dont play that much,Not regular,Non Paid,5,Positive,Excited,No feeling,Yes,No,Yes
28,Master's Level,Male,3.7,5,6,"Mobile, PC",12:30:00 AM,Yes,2,COC,Not regular,Non Paid,1,Doesn't matter,Excited,No feeling,No,Yes,No
27,Bachelor Level,Male,3.7,4.64,16,"Mobile, PC",1:00:00 AM,Yes,2,"PUBG, COC, IGA",Not regular,Non Paid,15,Upset,Excited,Stressed,No,No,No
23,Bachelor Level,Male,3.22,4.34,10,Mobile,4:04:00 AM,No,3,FIFA,Not regular,Paid,7,Upset,Excited,No feeling,Yes,No,Yes
22,Bachelor Level,Female,3.57,4.25,16,Mobile,11:00:00 PM,Yes,3,Candy crush,Not regular,Non Paid,0,Nothing ,Excited,No feeling,No,Yes,Yes
24,Bachelor Level,Male,3.91,4.58,12,Mobile,1:00:00 AM,Yes,4,"PUBG, COC",Not regular,Non Paid,5,Nothing matter,Excited,Stressed,Yes,Yes,Yes
21,Bachelor Level,Female,3,5,20,Mobile,10:30:00 AM,Yes,1,FIFA,Not regular,Non Paid,7,Positive,Excited,No feeling,No,No,No
24,Bachelor Level,Male,3,4.58,22,Mobile,12:00:00 AM,No,8,PUBG,Not regular,Non Paid,4,Positive,Excited,Excited to complete level,Yes,Yes,No
21,Bachelor Level,Male,3,4.67,16,"Mobile, PC",1:00:00 AM,No,0,"PUBG, CALL OF DUTY",Not regular,Non Paid,4,Angry,Excited,Excited to complete level,No,Yes,No
26,Master's Level,Male,3.6,3.83,15,"Mobile, PC",10:01:00 AM,No,1,Others ,Not regular,Non Paid,4,Positive,Bored,No feeling,Yes,No,No
25,Bachelor Level,Male,3.17,5,18,Mobile,1:00:00 AM,Yes,1,FIFA,Not regular,Non Paid,6,Positive,Excited,Stressed,No,No,No
23,Master's Level,Female,3.63,4.5,20,Mobile,12:30:00 AM,Yes,1,COC,Not regular,Non Paid,2,Depressed,Bored,Stressed,Yes,Yes,No
24,Bachelor Level,Male,3.56,2.61,18,Mobile,12:10:00 PM,Yes,2,FIFA,Not regular,Non Paid,4,Positive,Excited,No feeling,Yes,Yes,No
27,Master's Level,Male,3,4.92,18,PC,1:00:00 AM,Yes,0,"FIFA, ",Not regular,Non Paid,4,Positive,Bored,No feeling,No,No,No
25,Master's Level,Male,3.3,3,20,PC,11:25:00 AM,Yes,1,PUBG,Regular,Non Paid,4,Positive,Excited,Excited to complete level,Yes,Yes,Yes
23,Bachelor Level,Male,3.2,4.6,19,"Mobile, PC",12:00:00 AM,Yes,4,"FIFA, FREE FIRE",Regular,Non Paid,3,Positive,Excited,Stressed,Yes,No,No
24,Bachelor Level,Male,3.4,3.69,17,Mobile,12:00:00 PM,Yes,2,Football Cricket Badminton Handball ,Regular,Non Paid,10,Upset,Excited,Excited to complete level,No,Yes,Yes
25,Bachelor Level,Male,3.18,4.18,12,PC,2:00:00 AM,No,10,"FIFA, CALL OF DUTY, ",Not regular,Non Paid,3,Upset,Excited,Excited to complete level,No,Yes,No
24,Bachelor Level,Male,3.1,4.5,14,"Mobile, PC",4:30:00 AM,No,2,PUBG,Not regular,Non Paid,4,Positive,Excited,No feeling,No,Yes,No
23,Bachelor Level,Male,3.17,3.67,15,Mobile,1:00:00 AM,Yes,3,FREE FIRE,Not regular,Non Paid,5,Positive,Excited,Excited to complete level,Yes,No,No
20,Bachelor Level,Male,3.3,3,18,Mobile,11:30:00 PM,Yes,2,FIFA,Regular,Non Paid,1,Angry,Excited,Stressed,Yes,Yes,Yes
26,Master's Level,Male,2.67,3,17,Mobile,11:15:00 PM,No,1,"FREE FIRE, COC, PES",Regular,Non Paid,1,Upset,Excited,No feeling,Yes,Yes,No
22,Master's Level,Male,3.12,4,16,PC,10:50:00 PM,No,2,"PUBG, COC, PES, IGA, CALL OF DUTY",Regular,Non Paid,6,Depressed,Excited,Excited to complete level,Yes,No,Yes
19,Bachelor Level,Female,3.25,4,15,Mobile,11:00:00 PM,Yes,4,"FIFA, IGA, CALL OF DUTY",Regular,Non Paid,4,Upset,Bored,No feeling,Yes,Yes,Yes
21,Bachelor Level,Female,3.3,3,18,"Mobile, PC",12:50:00 AM,Yes,4,"PUBG, FREE FIRE, COC",Regular,Paid,7,Angry,Bored,No feeling,Yes,Yes,No
22,Bachelor Level,Male,3.45,4.6,19,Mobile,12:00:00 AM,Yes,1,FIFA,Not regular,Non Paid,2,Positive,Excited,No feeling,Yes,No,No
25,Bachelor Level,Male,3,4.88,20,Mobile,3:00:00 AM,Yes,6,PUBG,Not regular,Non Paid,6,Upset,Bored,No feeling,Yes,Yes,No
18,Bachelor Level,Female,3,5,5,"Mobile, PC",11:30:00 PM,Yes,8,"FIFA, PUBG, COC, CALL OF DUTY, ?????",Not regular,Non Paid,24,feel* ???? I feel sleepy. ,Excited,Excited to complete level,No,Yes,No
22,Bachelor Level,Male,3.5,4.5,15,Mobile,2:00:00 AM,Yes,2,FREE FIRE,Not regular,Non Paid,7,Positive,Excited,No feeling,No,No,No
22,Bachelor Level,Female,2.5,4.42,7,Mobile,11:00:00 AM,Yes,1,Candy Crush,Not regular,Non Paid,3,Upset,Excited,Excited to complete level,Yes,No,No
25,Bachelor Level,Male,3.48,3.2,16,"Mobile, PC",1:30:00 AM,Yes,2,PUBG,Not regular,Non Paid,3,Positive,Bored,No feeling,No,Yes,Yes
19,Bachelor Level,Male,3.2,5,8,"Mobile, PC",1:00:00 AM,Yes,7,"FIFA, PUBG, COC, PES, IGA, CALL OF DUTY, Hitman, Assassin's Creed all series,Modern Combat, Disorder,Far Cry, League Of Legends,Need for speed,GTA all series,Froza Horizon,IGI, Valorant, Warzone,CSGO, Standoff, Resident Evil, Halo,Mostofa,every Game I've ever played got me addicted.",Regular,Paid,24,Positive,Excited,No feeling,No,Yes,No
20,Bachelor Level,Male,4.92,4.89,8,"Mobile, PC",12:00:00 PM,Yes,8,"FIFA, PUBG, FREE FIRE, COC, IGA, CALL OF DUTY, Shank,hitman,Gta,mostofa,zupappa",Not regular,Paid,24,Positive,Excited,Excited to complete level,No,Yes,Yes
25,Master's Level,Male,3.62,5,14,Mobile,12:00:00 PM,Yes,1,"FIFA, PES",Regular,Non Paid,8,Positive,Excited,No feeling,No,No,Yes
27,Master's Level,Female,3.88,4.8,17,Mobile,1:00:00 AM,Yes,0,I don? play game now.,Not regular,Non Paid,4,Positive,Excited,Excited to complete level,Yes,Yes,No
24,Bachelor Level,Male,4.7,4.6,22,Mobile,2:03:00 AM,Yes,3,FIFA,Not regular,Non Paid,3,Depressed,Bored,No feeling,Yes,Yes,Yes
